01348,Yponomeuta padella,Pflaumen-Gespinstmotte
01350,Yponomeuta cagnagella,Pfaffenhütchen-Gespinstmotte
03956,Adscita statices,Ampfer-Grünwidderchen
03956*,Procrinidae compl.,Grünwidderchen-Kompl.
05751,Oncocera semirubella,Rhabarberzünsler
06241,Chrysoteuchia culmella,Rispengraszünsler
06253,Crambus perlella,Weißer Graszünsler
06605,Pyrausta purpuralis,Purpurroter Zünsler
06658,Anania hortulata,Brennnesselzünsler
06720a,Cydalima perspectalis,Buchsbaumzünsler
06788,Aglia tau,Nagelfleck
06843,Macrogl. stellatarum,Taubenschwänzchen
06919,Carteroce. palaemon,Gelbwürfeliger Dickkopffalter
06923,Thymelicus lineola,Schwarzkolbiger Braun-Dickkopff.
06924,Thymelicus sylvestris,Braunkolbiger Braun-Dickkopff.
06924*,Thy. lin./syl. compl.,Braun-Dickkopff.-Kompl.
06960,Papilio machaon,Schwalbenschwanz
06966,Leptidea sinapis/juvern.,Tintenfleck-Weißling
06973,Anthocharis cardamines,Aurorafalter
06995,Pieris brassicae,Großer Kohlweißling
06997,Pieris mannii,Karstweißling
06998,Pieris rapae,Kleiner Kohlweißling
07000,Pieris napi,Grünader-Weißling
07001*,Pie. napi/rap. compl.,Kl. Kohlweißling-Kompl.
07021,Colias hyale,Goldene Acht
07022*,Col. alfa./hyale compl.,Col. alfa./hyale-Kompl.
07024,Gonepteryx rhamni,Zitronenfalter
07030,Hamearis lucina,Schlüsselblumen-Würfelfalter
07034,Lycaena phlaeas,Kleiner Feuerfalter
07063,Satyrium pruni,Pflaumen-Zipfelfalter
07065,Satyrium ilicis,Brauner Eichen-Zipfelfalter
07093,Cupido argiades,Kurzschwänziger Bläuling
07097,Celastrina argiolus,Faulbaumbläuling
07145,Aricia agestis,Kleiner Sonnenröschen-Bläuling
07152,Cyaniris semiargus,Rotklee-Bläuling
07163,Polyommatus icarus,Hauhechel-Bläuling
07202,Argynnis paphia,Kaisermantel
07243,Vanessa atalanta,Admiral
07245,Vanessa cardui,Distelfalter
07248,Aglais io,Tagpfauenauge
07250,Aglais urticae,Kleiner Fuchs
07252,Polygonia c-album,C-Falter
07255,Araschnia levana,Landkärtchen
07258,Nymphalis polychloros,Großer Fuchs
07307,Pararge aegeria,Waldbrettspiel
07309,Lasiommata megera,Mauerfuchs
07334,Coenon. pamphilus,Kleines Wiesenvögelchen
07350,Maniola jurtina,Großes Ochsenauge
07547,Chiasmia clathrata,Klee-Gitterspanner
07613,Opisthograptis luteolata,Gelbspanner
07620,Pseudopanthera macularia,Pantherspanner
07659,Ourapteryx sambucaria,Nachtschwalbenschwanz
07804,Ematurga atomaria,Heideland-Tagspanner
07916,Siona lineata,Hartheuspanner
08028,Timandra comae,Ampferspanner
08275,Epirrhoe alternata,Graubinden-Labkrautspanner
08289,Camptogr. bilineata,Ockergelber Blattspanner
08967,Euclidia mi,Scheck-Tageule
08969,Euclidia glyphica,Braune Tageule
09051,Macdunnoughia confusa,Schafgarben-Silbereule
09056,Autographa gamma,Gammaeule
09338,Panemeria tenebrata,Hornkraut-Tageulchen
10572,Diaphora mendica,Grauer Fleckleibbär
20000,NN,Neue Art
