00063,Triodia sylvina,Ampfer-Wurzelbohrer
00067,Korscheltellus lupulina,Kleiner Hopfen-Wurzelbohrer
00069,Korscheltellus fusconebulosa,Adlerfarn-Wurzelbohrer
00080,Hepialus humuli,Großer Hopfen-Wurzelbohrer
01348,Yponomeuta padella,Pflaumen-Gespinstmotte
03907,Apoda limacodes,Großer Schneckenspinner
03922,Theresimima ampellophaga,Wein-Grünwidderchen
03925,Rhagades pruni,Heide-Grünwidderchen
03938,Jordanita subsolana,Dickfühler-Grünwidderchen
03941,Jordanita chloros,Kupferglanz-Grünwidderchen
03943,Jordanita globulariae,Flockenblumen-Grünwidderchen
03948,Adscita geryon,Sonnenröschen-Grünwidderchen
03951,Adscita mannii,Südwestdeutsches Grünwidderchen
03955a,Adscita italica,-
03956,Adscita statices,Ampfer-Grünwidderchen
03959,Aglaope infausta,Trauerwidderchen
03963,Zygaena sarpedon,-
03965,Zygaena punctum,-
03967,Zygaena cynarae,Haarstrang-Widderchen
03971,Zygaena rubicundus,-
03972,Zygaena erythrus,-
03973,Zygaena minos,Bibernell-Widderchen
03974,Zygaena purpuralis,Thymian-Widderchen
03978,Zygaena hilaris,-
03979,Zygaena fausta,Bergkronwicken-Widderchen
03980,Zygaena carniolica,Esparsetten-Widderchen
03981,Zygaena occitanica,-
03983,Zygaena loti,Beilfleck-Widderchen
03986,Zygaena oxytropis,-
03987,Zygaena rhadamanthus,-
03988,Zygaena exulans,Hochalpenwidderchen
03990,Zygaena romeo,Südliches Platterbsen-Widderchen
03991,Zygaena osterodensis,Platterbsen-Widderchen
03992,Zygaena viciae,Kleines Fünffleck-Widderchen
03993,Zygaena lavandulae,-
03995,Zygaena ephialtes,Veränderliches Widderchen
03996,Zygaena transalpina,Hufeisenklee-Widderchen
03998,Zygaena filipendulae,Sechsfleck-Widderchen
03999,Zygaena lonicerae,Großes Fünffleck-Widderchen
04000,Zygaena trifolii,Sumpfhornklee-Widderchen
04013b,Paysandisia archon,-
04044,Synanthedon scoliaeformis,Großer Birken-Glasflügler
04151,Cossus cossus,Weidenbohrer
05562,Thyris fenestrella,Waldreben-Fensterfleckchen
05751,Oncocera semirubella,Oncocera semirubella
06241,Chrysoteuchia culmella,Chrysoteuchia culmella
06416,Elophila nymphaeata,Seerosenzünsler
06601,Pyrausta despicata,Olivbrauner Zünsler
06604,Pyrausta aurata,Goldzünsler
06605,Pyrausta purpuralis,Purpurroter Zünsler
06623,Sitochroa palealis,Möhrenzünsler
06658,Anania hortulata,Brennnesselzünsler
06667,Patania ruralis,Nesselzünsler
06720a,Cydalima perspectalis,Buchsbaumzünsler
06752,Lasiocampa quercus,Eichenspinner
06755,Macrothylacia rubi,Brombeerspinner
06788,Aglia tau,Nagelfleck
06793,Saturnia pyri,Wiener Nachtpfauenauge
06794a,Saturnia pavoniella,Ligurisches Nachtpfauenauge
06795,Saturnia spini,Mittleres Nachtpfauenauge
06797,Saturnia caecigena,-
06802,Samia cynthia,Ailanthusspinner
06811,Brahmaea europaea,Europäischer Brahmaspinner
06817,Marumba quercus,Eichenschwärmer
06819,Mimas tiliae,Lindenschwärmer
06822,Smerinthus ocellata,Abendpfauenauge
06824,Laothoe populi,Pappelschwärmer
06828,Agrius convolvuli,Windenschwärmer
06830,Acherontia atropos,Totenkopfschwärmer
06832,Sphinx ligustri,Ligusterschwärmer
06834,Sphinx pinastri,Kiefernschwärmer
06839,Hemaris tityus,Skabiosenschwärmer
06840,Hemaris fuciformis,Hummelschwärmer
06841,Hemaris croatica,Olivgrüner Hummelschwärmer
06843,Macroglossum stellatarum,Taubenschwänzchen
06845,Daphnis nerii,Oleanderschwärmer
06849,Proserpinus proserpina,Nachtkerzenschwärmer
06853,Hyles euphorbiae,Wolfsmilchschwärmer
06855,Hyles gallii,Labkrautschwärmer
06858,Hyles vespertilio,Fledermausschwärmer
06859,Hyles hippophaes,Sanddornschwärmer
06860,Hyles livornica,Altweltlicher Linienschwärmer
06862,Deilephila elpenor,Mittlerer Weinschwärmer
06863,Deilephila porcellus,Kleiner Weinschwärmer
06865,Hippotion celerio,Großer Weinschwärmer
06879,Erynnis tages,Kronwicken-Dickkopffalter
06882,Carcharodus alceae,Malven-Dickkopffalter
06884,Muschampia lavatherae,Loreley-Dickkopffalter
06885,Muschampia floccifera,Heilziest-Dickkopffalter
06887,Carcharodus baeticus,Andorn-Dickkopffalter
06891,Spialia sertorius,Roter Würfeldickkopffalter
06895,Muschampia proto,-
06899,Pyrgus carthami,Steppenheiden-Würfel-Dickkopffalter
06900,Pyrgus sidae,-
06904,Pyrgus malvae,Kleiner Würfeldickkopffalter
06907,Pyrgus onopordi,Ambossfleck-Würfeldickkopffalter
06911,Pyrgus armoricanus,Zweibrütiger Würfeldickkopffalter
06912,Pyrgus alveus,Sonnenröschen-Würfeldickkopffalter
06923,Thymelicus lineola,Schwarzkolbiger Braundickkopffalter
06924,Thymelicus sylvestris,Braunkolbiger Braundickkopffalter
06925,Thymelicus acteon,Mattscheckiger Braundickkopffalter
06928,Hesperia comma,Komma-Dickkopffalter
06930,Ochlodes sylvanus,Rostfarbiger Dickkopffalter
06932,Gegenes pumilio,-
06933,Gegenes nostrodamus,-
06945,Zerynthia polyxena,Osterluzeifalter
06953,Parnassius mnemosyne,Schwarzer Apollo
06955,Parnassius apollo,Apollo
06958,Iphiclides podalirius,Segelfalter
06960,Papilio machaon,Schwalbenschwanz
06962,Papilio alexanor,Südlicher Schwalbenschwanz
