00063,Triodia sylvina,Ampfer-Wurzelbohrer
00338,Nemophora degeerella,De Geers Langhornfalter
01348,Yponomeuta padella,Pflaumen-Gespinstmotte
01350,Yponomeuta cagnagella,Pfaffenhütchen-Gespinstmotte
02321,Alabonia geoffrella,-
03998,Zygaena filipendulae,Sechsfleck-Widderchen
04151,Cossus cossus,Weidenbohrer
04731,Celypha lacunana,-
05751,Oncocera semirubella,Oncocera semirubella
06241,Chrysoteuchia culmella,Chrysoteuchia culmella
06243,Crambus pascuella,-
06253,Crambus perlella,Weißer Graszünsler
06258,Agriphila tristella,-
06266,Agriphila selasella,Weißstreifiger Feuchtwiesen-Graszünsler
06267,Agriphila straminella,-
06350,Thisanotia chrysonuchella,-
06364,Pediasia contaminella,-
06601,Pyrausta despicata,Olivbrauner Zünsler
06604,Pyrausta aurata,Goldzünsler
06605,Pyrausta purpuralis,Purpurroter Zünsler
06623,Sitochroa palealis,Möhrenzünsler
06658,Anania hortulata,Brennnesselzünsler
06667,Patania ruralis,Nesselzünsler
06720a,Cydalima perspectalis,Buchsbaumzünsler
06843,Macrogl. stellatarum,Taubenschwänzchen
06919,Carterocephal. palaemon,Gelbwürfeliger Dickkopffalter
06923,Thymelicus lineola,Schwarzkolbiger Braundickkopffalter
06924,Thymelicus sylvestris,Braunkolbiger Braundickkopffalter
06924*,Thy. lin./syl. compl.,Braun-Dickkopff.-Kompl.
06928,Hesperia comma,Komma-Dickkopffalter
06930,Ochlodes sylvanus,Rostfarbiger Dickkopffalter
06960,Papilio machaon,Schwalbenschwanz
06966,Leptidea sinapis/juvern.,Tintenfleck-Weißling
06993,Aporia crataegi,Baumweißling
06995,Pieris brassicae,Großer Kohlweißling
06997,Pieris mannii,Karstweißling
06998,Pieris rapae,Kleiner Kohlweißling
07000,Pieris napi,Grünader-Weißling
07000*,Pie. napi/rap.-Kom.,Kl. Kohlweißling-Kompl.
07015,Colias croceus,Postillion
07021,Colias hyale,Goldene Acht
07024,Gonepteryx rhamni,Zitronenfalter
07034,Lycaena phlaeas,Kleiner Feuerfalter
07039,Lycaena tityrus,Brauner Feuerfalter
07047,Thecla betulae,Nierenfleck-Zipfelfalter
07049,Favonius quercus,Blauer Eichen-Zipfelfalter
07058,Callophrys rubi,Grüner Zipfelfalter
07063,Satyrium pruni,Pflaumen-Zipfelfalter
07065,Satyrium ilicis,Brauner Eichen-Zipfelfalter
07073,Lampides boeticus,Großer Wanderbläuling
07093,Cupido argiades,Kurzschwänziger Bläuling
07097,Celastrina argiolus,Faulbaumbläuling
07145,Aricia agestis,Kleiner Sonnenröschen-Bläuling
07152,Cyaniris semiargus,Rotklee-Bläuling
07163,Polyommatus icarus,Hauhechel-Bläuling
07202,Argynnis paphia,Kaisermantel
07206,Fabriciana niobe,Mittlerer Perlmuttfalter
07210,Issoria lathonia,Kleiner Perlmuttfalter
07214,Brenthis daphne,Brombeer-Perlmuttfalter
07222,Boloria selene,Braunfleckiger Perlmuttfalter
07243,Vanessa atalanta,Admiral
07245,Vanessa cardui,Distelfalter
07248,Aglais io,Tagpfauenauge
07250,Aglais urticae,Kleiner Fuchs
07252,Polygonia c-album,C-Falter
07255,Araschnia levana,Landkärtchen
07258,Nymphalis polychloros,Großer Fuchs
07283,Melitaea athalia,Wachtelweizen-Scheckenfalter
07287,Limenitis camilla,Kleiner Eisvogel
07298,Apatura ilia,Kleiner Schillerfalter
07307,Pararge aegeria,Waldbrettspiel
07309,Lasiommata megera,Mauerfuchs
07334,Coenonympha pamphilus,Kleines Wiesenvögelchen
07340,Pyronia tithonus,Rotbraunes Ochsenauge
07344,Aphantopus hyperantus,Schornsteinfeger
07350,Maniola jurtina,Großes Ochsenauge
07360,Erebia ligea,Weißbindiger Mohrenfalter
07379,Erebia medusa,Rundaugen-Mohrenfalter
07415,Melanargia galathea,Schachbrett
07503,Watsonalla binaria,Zweipunkt-Sichelflügler
07508,Drepana falcataria,Heller Sichelflügler
07522,Abraxas grossulariata,Stachelbeer-Harlekin
07530,Ligdia adustata,Pfaffenhütchen-Harlekin
07537,Heliomata glarearia,Steppenheiden Gitterspanner
07547,Chiasmia clathrata,Klee-Gitterspanner
07561,Isturgia limbaria,Schwarzgesäumter Besenginsterspanner
07613,Opisthograptis luteolata,Gelbspanner
07620,Pseudopanth. macularia,Pantherspanner
07641,Selenia dentaria,Dreistreifiger Mondfleckspanner
07659,Ourapteryx sambucaria,Nachtschwalbenschwanz
