06995b,Pieris wollastoni,Madeira-Kohlweißling
06998,Pieris rapae,Kleiner Kohlweißling
07015,Colias croceus,Postillion
07022,Colias alfacariensis,Hufeisenklee-Gelbling
07023,Catopsilia florella,Catopsilia florella
07026d,Goneptryx maderensis,Madeira-Zitronenfalter
07034,Lycaena phlaeas phlaeoides,Kleiner Feuerfalter
07073,Lampides boeticus,Großer Wanderbläuling
07075,Cacyreus marshalli,Pelargonien-Bläuling
07210,Issoria lathonia,Kleiner Perlmuttfalter
07243,Vanessa atalanta,Admiral
07244,Vanessa vulcania,Kanarischer Admiral
07245,Vanessa cardui,Distelfalter
07246,Vanessa virginiensis,Amerikanischer Distelfalter
07292,Hypolimnas misippus,Hypolimnas misippus
07307,Pararge aegeria,Waldbrettspiel
07307c,Pararge xiphia,Madeira-Waldbrettspiel
07436a,Hipparchia maderensis,Madeira-Waldportier
07441,Hipparchia statilinus,Kleine Rostbinde
07474,Danaus plexippus,Monarch
07476,Danaus chrysippus,Afrikanischer Monarch
10535,Utetheisa pulchella,Punktbär
20000,NN,Neue Art
