06879,Erynnis tages,Kronwicken-Dickkopffalter
06882,Carcharodus alceae,Malven-Dickkopffalter
06883,Carcharodus tripolina,
06887,Carcharodes baeticus,Andorn-Dickkopffalter
06891,Spialia sertorius,Roter Würfeldickkopffalter
06895,Muschampia proto,
06904,Pyrgus malvae,Kleiner Würfeldickkopffalter
06907,Pyrgus onopordi,Ambossfleck-Würfeldickkopffalter
06911,Pyrgus armoricanus,Zweibrütiger Würfeldickkopffalter
06923,Thymelicus lineola,Schwarzkolbiger Braundickkopffalter
06924,Thymelicus sylvestris,Braunkolbiger Braundickkopffalter
06925,Thymelicus acteon,Mattscheckiger Braundickkopffalter
06933,Gegenes nostradamus,
06944,Zerynthia rumina,Westlicher Osterluzeifalter
06958,Iphiclides podalirius,Segelfalter
06960,Papilio machaon,Schwalbenschwanz
06966,Leptidea sinapis/juvern.,Tintenfleck-Weißling
06973,Anthocaris cardamines,Aurorafalter
06974,Anthocharis euphenoides,
06982,Euchloe belemia,
06983,Euchloe crameri,
06986,Euchloe tagis,
06993,Aporia crataegi,Baumweißling
06995,Pieris brassicae,Großer Kohlweißling
06998,Pieris rapae,Kleiner Kohlweißling
07000,Pieris napi,Grünader-Weißling
07005,Pontia daplidice,Westlicher Resedafalter
07015,Colias croceus,Postillion
07022,Colias alfacariensis,Hufeisenklee-Gelbling
07024,Gonepteryx rhamni,Zitronenfalter
07026,Gonepteryx cleopatra,Cleopatra
07030,Hamearis lucina,Schlüsselblumen-Würfelfalter
07034,Lycaena phlaeas,Kleiner Feuerfalter
07040,Lycaena alciphron,Violetter Feuerfalter
07049,Favonius quercus,Blauer Eichen-Zipfelfalter
07054,Tomares ballus,Cardenillo
07058,Callophrys rubi,Brombeerzipfelfalter
07060,Callophrys avis,Chapmans grüner Zipfelfalter
07073,Lampides boeticus,Großer Wanderbläuling
07075,Cacyreus marshalli,Pelargonien-Bläuling
07077,Leptotes pirithous,Kleiner Wanderbläuling
07090,Cupido lorquinii,Lorquins Bläuling
07097,Celastrina argiolus,Faulbaumbläuling
07099,Scolitantides baton,Westlicher Quendelbläuling
07101,Pseudophilotes abencerragus,
07103a,Pseudophilotes panoptes,Panoptes-Bläuling
07108,Glaucopsyche melanops,
07127,Plebejus argus,Argus-Bläuling
07144,Aricia cramera,Südlicher Sonnenröschen- Bläuling
07145,Aricia agestis,Kleiner Sonnenröschen-Bläuling
07152,Polyommatus semiargus,Rotklee-Bläuling
07162,Polyommatus thersites,Kleiner Esparsetten-Bläuling
07163,Polyommatus icarus,Hauhechel-Bläuling
07199,Libythea celtis,Zürgelbaumfalter
07210,Issoria lathonia,Kleiner Perlmuttfalter
07222,Boloria selene,Braunfleckiger Perlmuttfalter
07243,Vanessa atalanta,Admiral
07245,Vanessa cardui,Distelfalter
07248,Inachis io,Tagpfauenauge
07250,Nymphalis urticae,Kleiner Fuchs
07252,Nymphalis c-album,C-Falter
07257,Nymphalis antiopa,Trauermantel
07258,Nymphalis polychloros,Großer Fuchs
07267,Euphydryas desfontainii,Spanischer Scheckenfalter
07268,Euphydryas aurinia,Goldener Scheckenfalter
07270,Melitaea cinxia,Wegerich-Scheckenfalter
07271,Melitaea phoebe,Flockenblumen-Scheckenfalter
07272,Melitaea aetherie,Aetherie-Scheckenfalter
07274,Melitaea trivia,
07275,Melitaea didyma,Roter Scheckenfalter
07277,Melitaea deione,Leinkraut-Scheckenfalter
07283,Melitaea athalia,Wachtelweizen-Scheckenfalter
07307,Pararge aegeria,Waldbrettspiel
07309,Lasiommata megera,Mauerfuchs
07312,Lasiommata maera,Braunauge
07334,Coenonympha pamphilus,Kleines Wiesenvögelchen
07342,Pyronia bathseba,Spanisches Ochsenauge
07350,Maniola jurtina,Großes Ochsenauge
07373,Erebia triarius,Alpen-Mohrenfalter
07419,Melanargia occitanica,Westliches Schachbrett
07474,Danaus plexippus,Monarch
07476,Danaus chrysippus,Kleiner Monarch
07547,Chiasmia clathrata,Klee-Gitterspanner
07613,Opisthograptis luteolata,Gelbspanner
07620,Pseudopanthera macularia,Pantherspanner
07804,Ematurga atomaria,Heideland-Tagspanner
07916,Siona lineata,Hartheuspanner
08028,Timandra comae,Ampferspanner
08274,Epirrhoe tristata,Fleckleib-Labkrautspanner
08275,Epirrhoe alternata,Graubinden-Labkrautspanner
08289,Camptogramma bilineata,Ockergelber Blattspanner
08304,Larentia clavaria,Malven-Blattspanner
08411,Melanthia procellata,Waldreben-Blattspanner
08631,Odezia atrata,Schwarzspanner
08967,Callistege mi,Scheck-Tageule
08969,Euclidia glyphica,Braune Tageule
08994,Hypena proboscidalis,Nessel-Schnabeleule
09056,Autographa gamma,Gammaeule
10099,Noctua comes,Breitflügelige Bandeule
10102,Noctua janthina,Janthina-Bandeule
10517,Amata phegea,Weißfleck-Widderchen
10572,Diaphora mendica,Grauer Fleckleibbär
10583,Diacrisia sannio,Rotrandbär
10603,Callimorpha dominula,Schönbär
10605,Euplagia quadripunctaria,Spanische Flagge
10607,Tyria jacobaeae,Blutbär
20000,NN,Neue Art
