00063,Triodia sylvina,Ampfer-Wurzelbohrer
00354,Nemophora barbatellus, -
00363,Adela paludicolella, -
01348,Yponomeuta padella,Pflaumen-Gespinstmotte
01350,Yponomeuta cagnagella,Pfaffenhütchen-Gespinstmotte
03966,Zygaena corsica, -
03977,Zygaena orana, -
04030,Sesia apiformis,Hornissen-Glasflügler
04151,Cossus cossus,Weidenbohrer
04176,Zeuzera pyrina,Blausieb
04178,Phragmataecia castaneae,Rohrbohrer
04731,Celypha lacunana, -
05751,Oncocera semirubella, -
06241,Chrysoteuchia culmella, -
06243,Crambus pascuella, -
06253,Crambus perlella,Weißer Graszünsler
06258,Agriphila tristella, -
06266,Agriphila selasella,Weißstreifiger Feuchtwiesen-Graszünsler
06364,Pediasia contaminella, -
06416,Elophila nymphaeata,Seerosenzünsler
06499,Evergestis extimalis,Rübsaatpfeifer
06601,Pyrausta despicata,Olivbrauner Zünsler
06604,Pyrausta aurata,Purpurzünsler
06667,Patania ruralis,Blasser Nesselzünsler
06752,Lasiocampa quercus,Eichenspinner
06793,Saturnia pyri,Wiener Nachtpfauenauge
06794a,Saturnia pavoniella,Südliches Kleines Nachtpfauenauge
06822,Smerinthus ocellata,Abendpfauenauge
06824,Laothoe populi,Pappelschwärmer
06828,Agrius convolvuli,Windenschwärmer
06830,Acherontia atropos,Totenkopfschwärmer
06832,Sphinx ligustri,Ligusterschwärmer
06834,Sphinx pinastri,Kiefernschwärmer
06840,Hemaris fuciformis,Hummelschwärmer
06843,Macroglossum stellatarum,Taubenschwänzchen
06860,Hyles livornica,Altweltlicher Linienschwärmer
06862,Deilephila elpenor,Mittlerer Weinschwärmer
06863,Deilephila porcellus,Kleiner Weinschwärmer
06865,Hippotion celerio,Südlicher Weinschwärmer
06882,Carcharodus alceae,Malven-Dickkopffalter
06885,Muschampia floccifera,Heilziest-Dickkopffalter
06893,Spialia therapne,Korsischer roter Würfel-Dickkopffalter
06911,Pyrgus armoricanus,Zweibrütiger Würfeldickkopffalter
06932,Gegenes pumilio, -
06933,Gegenes nostradamus, -
06958,Iphiclides podalirius,Segelfalter
06960,Papilio machaon,Schwalbenschwanz
06961,Papilio hospiton,Korsischer Schwalbenschwanz
06962,Papilio alexanor,Südlicher Schwalbenschwanz
06966,Leptidea sinapis,Tintenfleck-Weißling
06973,Anthocharis cardamines,Aurorafalter
06987,Euchloe insularis, -
06993,Aporia crataegi,Baumweißling
06995,Pieris brassicae,Großer Kohlweißling
06998,Pieris rapae,Kleiner Kohlweißling
07005,Pontia daplidice,Westlicher Resedafalter
07015,Colias croceus,Postillion
07024,Gonepteryx rhamni,Zitronenfalter
07026,Gonepteryx cleopatra,Cleopatra
07034,Lycaena phlaeas,Kleiner Feuerfalter
07049,Favonius quercus,Blauer Eichen-Zipfelfalter
07058,Callophrys rubi,Brombeerzipfelfalter
07073,Lampides boeticus,Großer Wanderbläuling
07075,Cacyreus marshalli,Pelargonien-Bläuling
07077,Leptotes pirithous,Kleiner Wanderbläuling
07097,Celastrina argiolus,Faulbaumbläuling
07102,Pseudophilotes barbagiae,Sardischer Bläuling
07129a,Plebejus bellieri, -
