nocode,language,de
00080,Hepialus humuli,Großer Hopfen-Wurzelbohrer
03959,Aglaope infausta,Trauerwidderchen
03963,Zygaena sarpedon,-
03979,Zygaena fausta,Bergkronwicken-Widderchen
03981,Zygaena occitanica,-
03987,Zygaena rhadamanthus,-
03993,Zygaena lavandulae,-
03998,Zygaena filipendulae,Sechsfleck-Widderchen
04000,Zygaena trifolii,Sumpfhornklee-Widderchen
04013b,Paysandisia archon,Palmenmotte
06791,Actias isabellae,Isabellaspinner
06839,Hemaris tityus,Skabiosenschwärmer
06840,Hemaris fuciformis,Hummelschwärmer
06843,Macroglossum stellatarum,Taubenschwänzchen
06879,Erynnis tages,Kronwicken-Dickkopffalter
06882,Carcharodus alceae,Malven-Dickkopffalter
06883,Carcharodus tripolina,-
06884,Muschampia lavatherae,Loreley-Dickkopffalter
06885,Muschampia floccifera,Heilziest-Dickkopffalter
06887,Muschampia baeticus,Andorn-Dickkopffalter
06891,Spialia sertorius,Roter Würfeldickkopffalter
06895,Muschampia proto,-
06899,Pyrgus carthami,Steppenheiden-Würfeldickkopffalter
06902,Pyrgus cacaliae,Fahlfleckiger Alpen-Würfeldickkopffalter
06905,Pyrgus malvoides,Kleiner südlicher Würfeldickkopffalter
06906,Pyrgus serratulae,Schwarzbrauner Würfeldickkopffalter
06907,Pyrgus onopordi,Ambossfleck-Würfeldickkopffalter
06909,Pyrgus cirsii,Spätsommer-Würfeldickkopffalter
06911,Pyrgus armoricanus,Zweibrütiger Würfeldickkopffalter
06912,Pyrgus alveus,Sonnenröschen-Würfeldickkopffalter
06917,Heteropterus morpheus,Spiegelfleck-Dickkopffalter
06919,Carterocephalus palaemon,Gelbwürfeliger Dickkopffalter
06923,Thymelicus lineola,Schwarzkolbiger Braundickkopffalter
06924,Thymelicus sylvestris,Braunkolbiger Braundickkopffalter
06925,Thymelicus acteon,Mattscheckiger Braundickkopffalter
06928,Hesperia comma,Komma-Dickkopffalter
06930,Ochlodes sylvanus,Rostfarbiger Dickkopffalter
06932,Gegenes pumilio,-
06933,Gegenes nostrodamus,-
06935,Borbo borbonica,-
06944,Zerynthia rumina,Westlicher Osterluzeifalter
06953,Parnassius mnemosyne,Schwarzer Apollo
06955,Parnassius apollo,Apollo
06958,Iphiclides podalirius,Segelfalter
06958a,Iphiclides feisthamelii,Iberischer Segelfalter
06960,Papilio machaon,Schwalbenschwanz
06962,Papilio alexanor,Südlicher Schwalbenschwanz
06966,Leptidea sinapis,Tintenfleck-Weißling
06967,Leptidea reali,Reals Tintenfleck-Weißling
06973,Anthocharis cardamines,Aurorafalter
06974,Anthocharis euphenoides,Gelber Aurorafalter
06978,Zegris eupheme,-
06982,Euchloe belemia,Grüngestreifter Weißling
06983,Euchloe crameri,Westlicher Gesprenkelter Weißling
06986,Iberochloe tagis,Portugiesischer Gesprenkelter Weißling
06989,Euchloe charlonia,-
06993,Aporia crataegi,Baumweißling
06995,Pieris brassicae,Großer Kohlweißling
06997,Pieris mannii,Karstweißling
06998,Pieris rapae,Kleiner Kohlweißling
06999,Pieris ergane,-
07000,Pieris napi,Grünader-Weißling
07004,Pontia callidice,Alpenweißling
07005,Pontia daplidice,Westlicher Resedafalter
07008,Colotis evagore,-
07011,Colias phicomone,Alpen-Gelbling
07015,Colias croceus,Postillion
07022,Colias alfacariensis,Hufeisenklee-Gelbling
07023,Catopsilia florella,-
07024,Gonepteryx rhamni,Zitronenfalter
07026,Gonepteryx cleopatra,Cleopatra
07030,Hamearis lucina,Schlüsselblumen-Würfelfalter
07034,Lycaena phlaeas,Kleiner Feuerfalter
07035,Lycaena helle,Blauschillernder Feuerfalter
07037,Lycaena virgaureae,Dukaten-Feuerfalter
07039,Lycaena tityrus,Brauner Feuerfalter
07040,Lycaena alciphron,Violetter Feuerfalter
07041,Lycaena hippothoe,Lilagold-Feuerfalter
07047,Thecla betulae,Nierenfleck-Zipfelfalter
07049,Favonius quercus,Blauer Eichen-Zipfelfalter
07054,Tomares ballus,-
07058,Callophrys rubi,Grüner Zipfelfalter
07060,Callophrys avis,-
07062,Satyrium w-album,Ulmen-Zipfelfalter
07063,Satyrium pruni,Pflaumen-Zipfelfalter
07064,Satyrium spini,Kreuzdorn-Zipfelfalter
07065,Satyrium ilicis,Brauner Eichen-Zipfelfalter
07066,Satyrium esculi,Südlicher Eichen-Zipfelfalter
07067,Satyrium acaciae,Kleiner Schlehenzipfelfalter
07073,Lampides boeticus,Großer Wanderbläuling
07075,Cacyreus marshalli,Pelargonien-Bläuling
07077,Leptotes pirithous,Kleiner Wanderbläuling
07082a,Azanus ubaldus,-
07082b,Azanus jesous,-
07084,Zizeeria knysna,-
07088,Cupido minimus,Zwerg-Bläuling
07089,Cupido osiris,Kleiner Alpenbläuling
07090,Cupido lorquinii,Lorquins Bläuling
07093,Cupido argiades,Kurzschwänziger Bläuling
07095,Cupido alcetas,Südlicher kurzgeschwänzter Bläuling
07097,Celastrina argiolus,Faulbaumbläuling
07099,Pseudophilotes baton,Westlicher Quendelbläuling
07101,Pseudophilotes abencerragus,-
07103a,Pseudophilotes panoptes,Panoptes-Bläuling
07105,Scolitantides orion,Fetthennenbläuling
07107,Glaucopsyche alexis,Alexis-Bläuling
07108,Glaucopsyche melanops,-
07112,Phengaris arion,Quendel-Ameisenbläuling
07114,Phengaris nausithous,Dunkler Wiesenknopf-Ameisenbläuling
07115,Phengaris alcon,Lungenenzian-Ameisenbläuling
07127,Plebejus argus,Argus-Bläuling
07128,Plebejus idas,Idas-Bläuling
07139,Agriades glandon,Dunkler Alpenbläuling
07143,Eumedonia eumedon,Storchschnabel-Bläuling
07144,Aricia cramera,Südlicher Sonnenröschen-Bläuling
07145,Aricia agestis,Kleiner Sonnenröschen-Bläuling
07152,Cyaniris semiargus,Rotklee-Bläuling
07156,Polyommatus escheri,Escher-Bläuling
07157,Polyommatus dorylas,Großer Wundklee-Bläuling
07160,Polyommatus amandus,Vogelwicken-Bläuling
07162,Polyommatus thersites,Kleiner Esparsetten-Bläuling
07163,Polyommatus icarus,Hauhechel-Bläuling
07163a,Polyommatus celina,-
07167,Polyommatus eros,Eros-Bläuling
07171,Polyommatus daphnis,Zahnflügel-Bläuling
07172,Lysandra bellargus,Himmelblauer Bläuling
07173,Lysandra coridon,Coridon-Bläuling
07176,Lysandra hispana,-
07182,Polyommatus ripartii,-
07193,Polyommatus damon,Großer Esparsetten-Bläuling
07199,Libythea celtis,Zürgelbaum-Schnauzenfalter
07202,Argynnis paphia,Kaisermantel
07203,Argynnis pandora,Kardinal
07204,Speyeria aglaija,Großer Perlmuttfalter
07205,Fabriciana adippe,Feuriger Perlmuttfalter
07206,Fabriciana niobe,Mittlerer Perlmuttfalter
07208,Argynnis laodice,Östlicher Perlmuttfalter
07210,Issoria lathonia,Kleiner Perlmuttfalter
07213,Brenthis ino,Mädesüß-Perlmuttfalter
07214,Brenthis daphne,Brombeer-Perlmuttfalter
07218,Boloria eunomia,Randring-Perlmuttfalter
07220,Boloria euphrosyne,Silberfleck-Perlmuttfalter
07222,Boloria selene,Braunfleckiger Perlmuttfalter
07228,Boloria dia,Magerrasen-Perlmuttfalter
07235,Boloria pales,Hochalpen-Perlmuttfalter
07243,Vanessa atalanta,Admiral
07244,Vanessa vulcania,Kanaren-Admiral
07245,Vanessa cardui,Distelfalter
07246,Vanessa virginiensis,Amerikanischer Distelfalter
07248,Aglais io,Tagpfauenauge
07250,Aglais urticae,Kleiner Fuchs
07252,Polygonia c-album,C-Falter
07255,Araschnia levana,Landkärtchen
07257,Nymphalis antiopa,Trauermantel
07258,Nymphalis polychloros,Großer Fuchs
07267,Euphydryas desfontainii,Spanischer Scheckenfalter
07268,Euphydryas aurinia,Goldener Scheckenfalter
07270,Melitaea cinxia,Wegerich-Scheckenfalter
07271,Melitaea phoebe,Flockenblumen-Scheckenfalter
07272,Melitaea aetherie,-
07274,Melitaea trivia,Bräunlicher Scheckenfalter
07275,Melitaea didyma,Roter Scheckenfalter
07276,Melitaea diamina,Baldrian-Scheckenfalter
07277,Melitaea deione,Leinkraut-Scheckenfalter
07279,Melitaea parthenoides,Westlicher Scheckenfalter
07283,Melitaea athalia,Wachtelweizen-Scheckenfalter
07287,Limenitis camilla,Kleiner Eisvogel
07288,Limenitis reducta,Blauschwarzer Eisvogel
07292,Hypolimnas misippus,-
07294,Charaxes jasius,Erdbeerbaumfalter
07298,Apatura ilia,Kleiner Schillerfalter
07299,Apatura iris,Großer Schillerfalter
07307,Pararge aegeria,Waldbrettspiel
07309,Lasiommata megera,Mauerfuchs
07311,Lasiommata petropolitana,Braunscheckauge
07312,Lasiommata maera,Braunauge
07315,Lopinga achine,Gelbringfalter
07325,Coenonympha arcania,Weißbindiges Wiesenvögelchen
07326,Coenonympha glycerion,Rotbraunes Wiesenvögelchen
07331,Coenonympha dorus,-
07334,Coenonympha pamphilus,Kleines Wiesenvögelchen
07340,Pyronia tithonus,Rotbraunes Ochsenauge
07341,Pyronia cecilia,Südliches Ochsenauge
07342,Pyronia bathseba,Spanisches Ochsenauge
07344,Aphantopus hyperantus,Schornsteinfeger
07350,Maniola jurtina,Großes Ochsenauge
07353,Hyponephele lycaon,Kleines Ochsenauge
07354,Hyponephele lupinus,-
07361,Erebia euryale,Bergwald-Mohrenfalter
07363,Erebia manto,Gelbgefleckter Mohrenfalter
07366,Erebia epiphron,Knochs Mohrenfalter
07373,Erebia triarius,Alpen-Mohrenfalter
07382,Erebia alberganus,Mandeläugiger Mohrenfalter
07384,Erebia gorge,Felsen-Mohrenfalter
07394,Erebia cassioides,Schillernder Mohrenfalter
07396,Erebia pronoe,Quellen-Mohrenfalter
07403,Erebia neoridas,-
07405,Erebia oeme,Doppelaugen-Mohrenfalter
07406,Erebia meolans,Gelbbindiger Mohrenfalter
07410,Erebia pandrose,Graubrauner Mohrenfalter
07414,Melanargia russiae,-
07415,Melanargia galathea,Schachbrett
07416,Melanargia lachesis,Iberisches Schachbrett
07419,Melanargia occitanica,Westliches Schachbrett
07421,Melanargia ines,Spanisches Schachbrett
07424,Satyrus ferula,Weißkernauge
07425,Satyrus actaea,-
07427,Minois dryas,Blauäugiger Waldportier
07429,Hipparchia fagi,Großer Waldportier
07430,Hipparchia alcyone,Kleiner Waldportier
07436,Hipparchia semele,Rostbinde
07441,Hipparchia statilinus,Kleine Rostbinde
07443,Hipparchia fidia,-
07445,Arethusana arethusa,Rotbindiger Samtfalter
07447,Brintesia circe,Weißer Waldportier
07449,Chazara briseis,Berghexe
07474,Danaus plexippus,Monarch
07476,Danaus chrysippus,Kleiner Monarch
07522,Abraxas grossulariata,Stachelbeer-Harlekin
07836,Campaea margaritaria,Perlglanzspanner
08000,Hemistola chrysoprasaria,Waldreben-Grünspanner
08274,Epirrhoe tristata,Fleckleib-Labkrautspanner
08275,Epirrhoe alternata,Graubinden-Labkrautspanner
08385,Colostygia pectinataria,Prachtgrüner Bindenspanner
09056,Autographa gamma,Gammaeule
10535,Utetheisa pulchella,Punktbär
10583,Diacrisia sannio,Rotrandbär
10603,Callimorpha dominula,Schönbär
10605,Euplagia quadripunctaria,Spanische Flagge
10607,Tyria jacobaeae,Blutbär
20000,NN,Unbestimmte Art
