06925a,Thymelicus christi,Canary Skipper
06982a,Euchloe belemia eversi,Green-striped White
06989,Euchloe charlonia,Greenish black-tip
06995a,Pieris cheiranthi,Canary Islands large white
06995b,Pieris wollastoni,Madeira large white
06998,Pieris rapae,Small white
07005,Pontia daplidice,Bath white
07015,Colias croceus,Dark clouded yellow
07021,Colias hyale,Pale clouded yellow
07023,Catopsilia florella,African migrant
07026a,Gonepteryx cleobule,Canary Islands brimstone
07026b,Gonepteryx palmae,La Palma brimstone
07026c,Gonepteryx eversi,La Gomera brimstone
07034,Lycaena phlaeas,Small copper
07058,Callophrys rubi,Green hairstreak
07073,Lampides boeticus,Long-tailed blue
07075,Cacyreus marshalli,Geranium bronze
07077,Leptotes pirithous,Lang's short-tailed blue
07080,Cyclyrius webbianus,Canary blue
07082a,Azanus ubaldus,Bright babul blue
07084,Zizeeria knysna,African grass blue
07144,Aricia cramera,Spanish brown argus
07163,Polyommatus icarus,Common blue
07163a,Polyommatus celina,Southern blue page
07203,Argynnis pandora,Mediterranean fritillary
07210,Issoria lathonia,Queen of Spain fritillary
07243,Vanessa atalanta,Red admiral
07244,Vanessa vulcania,Canary admiral
07245,Vanessa cardui,Painted lady
07246,Vanessa virginiensis,American painted lady
07292,Hypolimnas misippus,Danaid eggfly
07307,Pararge aegeria,Speckled wood
07307b,Pararge xiphioides,Canary speckled wood
07350,Maniola jurtina,Meadow brown
07441a,Hipparchia wyssii,Canary grayling
07474,Danaus plexippus,Monarch
07476,Danaus chrysippus,Plain tiger
10535,Utetheisa pulchella,Crimson-speckled flunkey
20000,NN,New species
