03956,Adscita statices,Forester
03974,Zygaena purpuralis,Transparent burnet
03980,Zygaena carniolica,Crepuscular burnet
03983,Zygaena loti,Slender burnet
03992,Zygaena viciae,New forest burnet
03995,Zygaena ephialtes,Billowing burnet
03996,Zygaena transalpina,-
03998,Zygaena filipendulae,Six-spot burnet
03999,Zygaena lonicerae,Narrow-bordered five-spot burnet
04000,Zygaena trifolii,Five-spot burnet
05751,Oncocera semirubella,-
06604,Pyrausta aurata,Mint moth
06605,Pyrausta purpuralis,-
06658,Anania hortulata,Small magpie
06667,Patania ruralis,Mother of pearl moth
06720a,Cydalima perspectalis,Box tree moth
06840,Hemaris fuciformis,Broad-bordered bee hawk-moth
06843,Macroglossum stellatarum,Hummingbird hawk-moth
06879,Erynnis tages,Dingy skipper
06882,Carcharodus alceae,Mallow skipper
06891,Spialia sertorius,Red-underwing skipper
06904,Pyrgus malvae,Grizzled skipper
06906,Pyrgus serratulae,Olive skipper
06911,Pyrgus armoricanus,Oberthür's grizzled skipper
06912,Pyrgus alveus,Large grizzled skipper
06917,Heteropterus morpheus,Large chequered skipper
06919,Carterocephalus palaemon,Chequered skipper
06923,Thymelicus lineola,Essex skipper
06924,Thymelicus sylvestris,Small skipper
06925,Thymelicus acteon,Lulworth skipper
06928,Hesperia comma,Silver-spotted skipper
06930,Ochlodes sylvanus,Large skipper
06955,Parnassius apollo,Apollo
06958,Iphiclides podalirius,Scarce swallowtail
06960,Papilio machaon,Swallowtail
06967,Leptidea sinapis/juvern.,Wood white
06973,Anthocharis cardamines,Orange tip
06993,Aporia crataegi,Black-veined white
06995,Pieris brassicae,Large white
06997,Pieris mannii,Southern small white
06998,Pieris rapae,Small white
07000,Pieris napi,Green-veined white
07005,Pontia daplidice,Bath white
07015,Colias croceus,Dark clouded yellow
07021,Colias hyale,Pale clouded yellow
07022,Colias alfacariensis,Berger's clouded yellow
07024,Gonepteryx rhamni,Common brimstone
07030,Hamearis lucina,Duke of Burgundy
07034,Lycaena phlaeas,Small copper
07035,Lycaena helle,Violet copper
07037,Lycaena virgaureae,Scarce copper
07039,Lycaena tityrus,Sooty copper
07040,Lycaena alciphron,Purple-shot copper
07041,Lycaena hippothoe,Purple-edged copper
07047,Thecla betulae,Brown hairstreak
07049,Favonius quercus,Purple hairstreak
07058,Callophrys rubi,Green hairstreak
07062,Satyriuim w-album,White-letter hairstreak
07063,Satyrium pruni,Black hairstreak
07064,Satyrium spini,Blue spot hairstreak
07065,Satyrium ilicis,Ilex hairstreak
07073,Lampides boeticus,Long-tailed blue
07088,Cupido minimus,Small blue
07093,Cupido argiades,Short-tailed blue
07097,Celastrina argiolus,Holly blue
07099,Pseudophilotes baton,Baton blue
07107,Glaucopsyche alexis,Green-underside blue
07112,Phengaris arion,Large blue
07113,Phengaris teleius,Scarce large blue
07114,Phengaris nausithous,Dusky large blue
07115,Phengaris alcon,Alcon blue
07116,Phengaris rebeli,Mountain Alcon blue
07127,Plebejus argus,Silver-studded blue
07128,Plebejus idas,Idas blue
07129,Plebejus argyrognomon,Reverdin's blue
07131,Agriades optilete,Cranberry blue
07143,Eumedonia eumedon,Geranium argus
07145,Aricia agestis,Brown argus
07146,Aricia artaxerxes,Northern brown argus
07152,Cyaniris semiargus,Mazarine blue
07156,Polyommatus escheri,Escher's blue
07157,Polyommatus dorylas,Turquoise blue
07160,Polyommatus amandus,Amanda's blue
07162,Polyommatus thersites,Chapman's blue
07163,Polyommatus icarus,Common blue
07172,Lysandra bellargus,Adonis blue
07173,Lysandra coridon,Chalkhill blue
07202,Argynnis paphia,Silver-washed fritillary
07204,Speyeria aglaja,Dark green fritillary
07205,Fabriciana adippe,High brown fritillary
07206,Fabriciana niobe,Niobe fritillary
07210,Issoria lathonia,Queen of Spain fritillary
07213,Brenthis ino,Lesser marbled fritillary
07214,Brenthis daphne,Marbled fritillary
07218,Boloria eunomia,Bog fritillary
07220,Boloria euphrosyne,Pearl-bordered fritillary
07222,Boloria selene,Small pearl-bordered fritillary
07228,Boloria dia,Weaver's fritillary
07237,Boloria aquilonaris,Cranberry fritillary
07243,Vanessa atalanta,Red admiral
07245,Vanessa cardui,Painted lady
07248,Aglais io,Peacock
07250,Aglais urticae,Small tortoiseshell
07252,Polygonia c-album,Comma
07255,Araschnia levana,Map
07257,Nymphalis antiopa,Camberwell beauty
07258,Nymphalis polychloros,Large tortoiseshell
07268,Euphydryas aurinia,Marsh fritillary
07270,Melitaea cinxia,Glanville fritillary
07276,Melitaea diamina,False heath fritillary
07280,Melitaea aurelia,Nickerl's fritillary
07283,Melitaea athalia,Heath fritillary
07286,Limenitis populi,Poplar admiral
07287,Limenitis camilla,White admiral
07298,Apatura ilia,Lesser purple emperor
07299,Apatura iris,Purple emperor
07307,Pararge aegeria,Speckled wood
07309,Lasiommata megera,Wall brown
07312,Lasiommata maera,"Large wall
"
07315,Lopinga achine,Woodland brown
07321,Coenonympha tullia,Large heath
07325,Coenonympha arcania,Pearly heath
07326,Coenonympha glycerion,Chestnut heath
07332,Coenonympha hero,Scarce heath
07334,Coenonympha pamphilus,Small heath
07340,Pyronia tithonus,Gatekeeper
07344,Aphantopus hyperantus,Ringlet
07350,Maniola jurtina,Meadow brown
07360,Erebia ligea,Arran brown
07372,Erebia aethiops,Scotch argus
07379,Erebia medusa,Woodland ringlet
07415,Melanargia galathea,Marbled white
07427,Minois dryas,Dryad
07429,Hipparchia fagi,Woodland grayling
07430,Hipparchia alcyone,Rock grayling
07436,Hipparchia semele,Grayling
07441,Hipparchia statilinus,Tree grayling
07449,Chazara briseis,Hermit
07547,Chiasmia clathrata,Latticed heath
07613,Opisthograptis luteolata,Brimstone moth
07620,Pseudopanth. macularia,Speckled yellow
07804,Ematurga atomaria,Common heath
07916,Siona lineata,Black-veined moth
08028,Timandra comae,Blood-vein
08274,Epirrhoe tristata,Small argent and sable
08275,Epirrhoe alternata,Common carpet
08289,Camptogram. bilineata,Yellow shell
08411,Melanthia procellata,Pretty chalk carpet
08631,Odezia atrata,Chimney sweeper
08967,Callistege mi,Mother shipton
08969,Euclidia glyphica,Burnet companion
08994,Hypena proboscidalis,Snout
09056,Autographa gamma,Silver Y
10517,Amata phegea,Nine spotted
10535,Utetheisa pulchella,Crimson-speckled flunkey
10572,Diaphora mendica,Muslin moth
10603,Callimorpha dominula,Scarlet tiger
10605,Euplagia quadripunctaria,Jersey tiger
10607,Tyria jacobaeae,Cinnabar
20000,NN,New species
