nocode,language,es
00080,Hepialus humuli,Fantasma
03959,Aglaope infausta,Orugueta del almendro
03963,Zygaena sarpedon,Zigena del cardo corredor
03979,Zygaena fausta,Zygaena de la coronilla
03981,Zygaena occitanica,Zygaena de la boja
03987,Zygaena rhadamanthus,Zigena de la esparceta
03993,Zygaena lavandulae,Zigena de la albaida
03998,Zygaena filipendulae,Zigena de los seis puntos
04000,Zygaena trifolii,Zigena de los humedales
04013b,Paysandisia archon,Oruga de las palmeras
06791,Actias isabellae,Mariposa isabelina
06839,Hemaris tityus,Esfinge abejorro de orla estrecha
06840,Hemaris fuciformis,Esfinge abejorro
06843,Macroglossum stellatarum,Esfinge colibrí
06879,Erynnis tages,Cervantes
06882,Carcharodus alceae,Piquitos de las malvas
06883,Carcharodus tripolina,Piquitos africana
06884,Muschampia lavatherae,Piquitos clara
06885,Muschampia floccifera,Piquitos serrana
06887,Muschampia baeticus,Piquitos del marrubio
06891,Spialia sertorius,Sertorio
06895,Muschampia proto,Proto
06899,Pyrgus carthami,Ajedrezada mayor
06902,Pyrgus cacaliae,Ajedrezada alpina
06905,Pyrgus malvoides,Ajedrezada menor
06906,Pyrgus serratulae,Ajedrezada verdosa
06907,Pyrgus onopordi,Ajedrezada yunque
06909,Pyrgus cirsii,Ajedrezada tórrida
06911,Pyrgus armoricanus,Ajedrezada armoricana
06912,Pyrgus alveus,Ajedrezada serrana
06917,Heteropterus morpheus,Espejitos
06919,Carterocephalus palaemon,Fronteriza
06923,Thymelicus lineola,Dorada línea corta
06924,Thymelicus sylvestris,Dorada línea larga
06925,Thymelicus acteon,Dorada oscura
06928,Hesperia comma,Dorada manchas blancas
06930,Ochlodes sylvanus,Dorada difusa
06932,Gegenes pumilio,Veloz menor
06933,Gegenes nostrodamus,Veloz de las riberas
06935,Borbo borbonica,Borbo
06944,Zerynthia rumina,Arlequín
06953,Parnassius mnemosyne,Mnemosine
06955,Parnassius apollo,Apolo
06958,Iphiclides podalirius,Podalirio
06958a,Iphiclides feisthamelii,Chupaleches
06960,Papilio machaon,Macaón
06962,Papilio alexanor,Alexanor
06966,Leptidea sinapis,Esbelta común
06967,Leptidea reali,Esbelta esquiva
06973,Anthocharis cardamines,Aurora
06974,Anthocharis euphenoides,Aurora amarilla
06978,Zegris eupheme,Zegris
06982,Euchloe belemia,Blanquiverdosa rayada
06983,Euchloe crameri,Blanquiverdosa común
06986,Iberochloe tagis,Blanquiverdosa menor
06989,Euchloe charlonia,Azufrada africana
06993,Aporia crataegi,Blanca del majuelo
06995,Pieris brassicae,Blanca de la col
06997,Pieris mannii,Blanca de Mann
06998,Pieris rapae,Blanquita de la col
06999,Pieris ergane,Blanca escasa
07000,Pieris napi,Blanca verdinervada
07004,Pontia callidice,Blanquiverdosa alpina
07005,Pontia daplidice,Blanquiverdosa
07008,Colotis evagore,Alcaparrera
07011,Colias phicomone,Colias alpina
07015,Colias croceus,Amarilla
07022,Colias alfacariensis,Colias pálida
07023,Catopsilia florella,Migradora de la flor de gofio
07024,Gonepteryx rhamni,Limonera
07026,Gonepteryx cleopatra,Cleopatra
07030,Hamearis lucina,Lucina
07034,Lycaena phlaeas,Manto común
07035,Lycaena helle,Manto violeta
07037,Lycaena virgaureae,Manto de oro
07039,Lycaena tityrus,Manto oscuro
07040,Lycaena alciphron,Manto púrpura
07041,Lycaena hippothoe,Manto cobrizo
07047,Thecla betulae,Topacio
07049,Favonius quercus,Nazarena
07054,Tomares ballus,Cardenillo
07058,Callophrys rubi,Cejiblanca
07060,Callophrys avis,Cejirrubia
07062,Satyrium w-album,Rabicorta w-blanca
07063,Satyrium pruni,Rabicorta escasa
07064,Satyrium spini,Rabicorta de mancha azul
07065,Satyrium ilicis,Rabicorta del roble
07066,Satyrium esculi,Rabicorta de la coscoja
07067,Satyrium acaciae,Rabicorta del endrino
07073,Lampides boeticus,Estriada canela
07075,Cacyreus marshalli,Taladro del geranio
07077,Leptotes pirithous,Estriada gris
07082a,Azanus ubaldus,Laberinto del desierto
07082b,Azanus jesous,Laberinto de las acacias
07084,Zizeeria knysna,Violetilla
07088,Cupido minimus,Duende menor
07089,Cupido osiris,Duende mayor
07090,Cupido lorquinii,Duende de Lorquin
07093,Cupido argiades,Duende naranjitas
07095,Cupido alcetas,Duende limpio
07097,Celastrina argiolus,Náyade
07099,Pseudophilotes baton,Abencerraje norteño
07101,Pseudophilotes abencerragus,Abencerraje meridional
07103a,Pseudophilotes panoptes,Abencerraje del tomillo
07105,Scolitantides orion,Abencerraje orión
07107,Glaucopsyche alexis,Alexis
07108,Glaucopsyche melanops,Melanops
07112,Phengaris arion,Hormiguera de lunares
07114,Phengaris nausithous,Hormiguera oscura
07115,Phengaris alcon,Hormiguera de las gencianas
07127,Plebejus argus,Esmaltada espinosa
07128,Plebejus idas,Esmaltada sencilla
07139,Agriades glandon,Alpina oscura
07143,Eumedonia eumedon,Morena rayada
07144,Aricia cramera,Morena común
07145,Aricia agestis,Morena oriental
07152,Cyaniris semiargus,Semiargus
07156,Polyommatus escheri,Niña Escher
07157,Polyommatus dorylas,Niña turquesa
07160,Polyommatus amandus,Niña amanda
07162,Polyommatus thersites,Niña tersites
07163,Polyommatus icarus,Icaro
07163a,Polyommatus celina,Niña celina
07167,Polyommatus eros,Niña eros
07171,Polyommatus daphnis,Niña dentada
07172,Lysandra bellargus,Niña celeste
07173,Lysandra coridon,Niña coridón
07176,Lysandra hispana,Niña mediterránea
07182,Polyommatus ripartii,Rayada oscura
07193,Polyommatus damon,Azul cintada
07199,Libythea celtis,Mariposa del almez
07202,Argynnis paphia,Nacarada pafia
07203,Argynnis pandora,Pandora
07204,Speyeria aglaija,Nacarada aglaja
07205,Fabriciana adippe,Nacarada adipe
07206,Fabriciana niobe,Nacarada niobe
07208,Argynnis laodice,Nacarada de pallas
07210,Issoria lathonia,Sofia
07213,Brenthis ino,Bipunteada ino
07214,Brenthis daphne,Bipunteada dafne
07218,Boloria eunomia,Perlada de turbera
07220,Boloria euphrosyne,Perlada rojiza
07222,Boloria selene,Perlada selene
07228,Boloria dia,Perlada violeta
07235,Boloria pales,Perlada montana
07243,Vanessa atalanta,Atalanta
07244,Vanessa vulcania,Vulcana
