nocode,language,es
06995b,Pieris wollastoni,Blanca de la col de Madera
06998,Pieris rapae,Blanquita de la col
07015,Colias croceus,Amarilla
07022,Colias alfacariensis,Colias pálida
07023,Catopsilia florella,Migradora de la flor de gofio
07026d,Goneptryx maderensis,Cleopatra de Madera
07034,Lycaena phlaeas phlaeoides,Manto común
07073,Lampides boeticus,Estriada canela
07075,Cacyreus marshalli,Taladro del geranio
07210,Issoria lathonia,Sofia
07243,Vanessa atalanta,Atalanta
07244,Vanessa vulcania,Vulcana
07245,Vanessa cardui,Cardera
07246,Vanessa virginiensis,Cardera americana
07292,Hypolimnas misippus,Falsa mariposa tigre
07307,Pararge aegeria,Ondulada
07307a,Pararge xiphia,Ondulada de Madera
07436a,Hipparchia maderensis,Sátiro de Madera
07441,Hipparchia statilinus,Sátiro gris
07474,Danaus plexippus,Monarca
07476,Danaus chrysippus,Mariposa tigre
10535,Utetheisa pulchella,Nomeolvides
20000,NN,Especie no identificada
