nocode,language,fr
03956,Adscita statices,Turquoise
03974,Zygaena purpuralis,Zygène pourpre
03980,Zygaena carniolica,Zygène du sainfoin
03983,Zygaena loti,Zygène du lotier
03992,Zygaena viciae,Zygène des Thérésiens
03995,Zygaena ephialtes,Zygène de la coronille variée
03996,Zygaena transalpina,Zygène transalpine
03998,Zygaena filipendulae,Zygène du pied-de-poule
03999,Zygaena lonicerae,Zygène des bois
04000,Zygaena trifolii,Zygène des prés
05751,Oncocera semirubella,Phycide incarnat
06604,Pyrausta aurata,Pyrauste de la menthe
06605,Pyrausta purpuralis,Pyrauste pourprée
06658,Anania hortulata,Pyrale de l'ortie
06667,Patania ruralis,Pyrale du houblon
06720a,Cydalima perspectalis,Pyrale du buis
06840,Hemaris fuciformis,Sphinx gazé
06843,Macroglos. stellatarum,Moro-sphinx
06879,Erynnis tages,Point-de-Hongrie
06882,Carcharodus alceae,Hespérie de l’alcée
06891,Spialia sertorius,Hespérie des sanguisorbes
06904,Pyrgus malvae,Hespérie de l’ormière
06906,Pyrgus serratulae,Hespérie de l'alchémille
06911,Pyrgus armoricanus,Hespérie des potentilles
06912,Pyrgus alveus,Hespérie du faux-buis
06917,Heteropterus morpheus,Miroir
06919,Carteroceph. palaemon,Hespérie du brome
06923,Thymelicus lineola,Hespérie du dactyle
06924,Thymelicus sylvestris,Hespérie de la houque
06925,Thymelicus acteon,Hespérie du chiendent
06928,Hesperia comma,Virgule
06930,Ochlodes sylvanus,Sylvaine
06955,Parnassius apollo,Apollon
06958,Iphiclides podalirius,Flambé
06960,Papilio machaon,Machaon
06967,Leptidea sinapis/reali,Piéride du lotier/de Real
06973,Anthocharis cardamines,Aurore
06993,Aporia crataegi,Gazé
06995,Pieris brassicae,Piéride du chou
06997,Pieris mannii,Piéride de l'ibéride
06998,Pieris rapae,Piéride de la rave
07000,Pieris napi,Piéride du navet
07005,Pontia daplidice,Marbré-de-vert
07015,Colias croceus,Souci
07021,Colias hyale,Soufré
07022,Colias alfacariensis,Fluoré
07024,Gonepteryx rhamni,Citron
07030,Hamearis lucina,Lucine
07034,Lycaena phlaeas,Cuivré commun
07035,Lycaena helle,Cuivré de la bistorte
07037,Lycaena virgaureae,Cuivré de la verge-d'or
07039,Lycaena tityrus,Cuivré fuligineux
07040,Lycaena alciphron,Cuivré mauvin
07041,Lycaena hippothoe,Cuivré écarlate
07047,Thecla betulae,Thécla du bouleau
07049,Favonius quercus,Thécla du chêne
07058,Callophrys rubi,Thécla de la ronce
07062,Satyriuim w-album,Thécla de l'orme
07063,Satyrium pruni,Thécla du prunier
07064,Satyrium spini,Thécla des nerpruns
07065,Satyrium ilicis,Thécla de l'yeuse
07073,Lampides boeticus,Azuré porte-queue
07088,Cupido minimus,Argus frêle
07093,Cupido argiades,Azuré du trèfle
07097,Celastrina argiolus,Azuré des nerpruns
07099,Pseudophilotes baton,Azuré de la sarriette
07107,Glaucopsyche alexis,Azuré des cytises
07112,Phengaris arion,Azuré du serpolet
07113,Phengaris teleius,Azuré de la sanguisorbe
07114,Phengaris nausithous,Azuré des paluds
07115,Phengaris alcon,Azuré des mouillères
07116,Phengaris rebeli,Azuré de la croisette
07127,Plebejus argus,Azuré de l'ajonc
07128,Plebejus idas,Azuré du genêt
07129,Plebejus argyrognomon,Azuré des coronilles
07131,Agriades optilete,Azuré de la canneberge
07143,Eumedonia eumedon,Argus de la sanguinaire
07145,Aricia agestis,Collier-de-corail
07146,Aricia artaxerxes,Argus de l'hélianthème
07152,Cyaniris semiargus,Azuré des anthyllides
07156,Polyommatus escheri,Azuré de l'adragant
07157,Polyommatus dorylas,Azuré du mélilot
07160,Polyommatus amandus,Azuré de la jarosse
07162,Polyommatus thersites,Azuré de l'esparcette
07163,Polyommatus icarus,Argus bleu
07172,Lysandra bellargus,Azuré bleu céleste
07173,Lysandra coridon,Argus bleu-nacré
07202,Argynnis paphia,Tabac d'Espagne
07204,Speyeria aglaja,Grande nacre
07205,Fabriciana adippe,Moyen nacré
07206,Fabriciana niobe,Chiffre
07210,Issoria lathonia,Petit nacré
07213,Brenthis ino,Nacré de la sanguisorbe
07214,Brenthis daphne,Nacré de la ronce
07218,Boloria eunomia,Nacré de la bistorte
07220,Boloria euphrosyne,Grand collier argenté
07222,Boloria selene,Petit collier argenté
07228,Boloria dia,Petite violette
07237,Boloria aquilonaris,Nacré de la canneberge
07243,Vanessa atalanta,Vulcain
07245,Vanessa cardui,Belle-Dame
07248,Aglais io,Paon-du-jour
07250,Aglais urticae,Petite tortue
07252,Polygonia c-album,Robert-le-Diable
07255,Araschnia levana,Carte géographique
07257,Nymphalis antiopa,Morio
07258,Nymphalis polychloros,Grande tortue
07268,Euphydryas aurinia,Damier de la succise
07270,Melitaea cinxia,Mélitée du plantain
07276,Melitaea diamina,Mélitée noirâtre
07280,Melitaea aurelia,Mélitée des digitales
07283,Melitaea athalia,Mélitée du mélampyre
07286,Limenitis populi,Grand sylvain
07287,Limenitis camilla,Petit sylvain
07298,Apatura ilia,Petit mars changeant
07299,Apatura iris,Grand mars changeant
07307,Pararge aegeria,Tircis
07309,Lasiommata megera,Mégère
07312,Lasiommata maera,Némusien
07315,Lopinga achine,Bacchante
07321,Coenonympha tullia,Fadet des tourbières
07325,Coenonympha arcania,Céphale
07326,Coenonympha glycerion,Fadet de la mélique
07332,Coenonympha hero,Mélibée
07334,Coenonympha pamphilus,Fadet commun
07340,Pyronia tithonus,Amaryllis
07344,Aphantopus hyperantus,Tristan
07350,Maniola jurtina,Myrtil
07360,Erebia ligea,Moiré blanc-fascié
07372,Erebia aethiops,Moiré sylvicole
07379,Erebia medusa,Moiré franconien
07415,Melanargia galathea,Demi-deuil
07427,Minois dryas,Grand nègre des bois
07429,Hipparchia fagi,Sylvandre
07430,Hipparchia alcyone,Petit sylvandre
07436,Hipparchia semele,Agreste
07441,Hipparchia statilinus,Faune
07447,Brintesia circe,Silène
07449,Chazara briseis,Hermite
07547,Chiasmia clathrata,Barreaux
07613,Opisthograptis luteolata,Citronnelle rouillée
07620,Pseudopanth. macularia,Panthère
07804,Ematurga atomaria,Phalène picotée
07916,Siona lineata,Divisée
08028,Timandra comae,Timandre aimée
08274,Epirrhoe tristata,Mélanippe triste
08275,Epirrhoe alternata,Alternée
08289,Camptogram. bilineata,Brocatelle d'or
08411,Melanthia procellata,Mélanthie pie
