01348,Yponomeuta padella,Hyponomeute du prunier
01350,Yponomeuta cagnagella,Hyponomeute parente
03956,Adscita statices,Turquoise
03959,Aglaope infausta,Aglaopé des haies
03974,Zygaena purpuralis,Zygène pourpre
03979,Zygaena fausta,Zygène de la petite coronille
03980,Zygaena carniolica,Zygène du sainfoin
03983,Zygaena loti,Zygène du lotier
03988,Zygaena exulans,Zygène des sommets
03992,Zygaena viciae,Zygène des Thérésiens
03993,Zygaena lavandulae,Zygène de la badasse
03995,Zygaena ephialtes,Zygène de la coronille variée
03996,Zygaena transalpina,Zygène transalpine
03998,Zygaena filipendulae,Zygène du pied-de-poule
03999,Zygaena lonicerae,Zygène des bois
04000,Zygaena trifolii,Zygène des prés
05751,Oncocera semirubella,Phycide incarnat
06601,Pyrausta despicata,Pyrauste du plantain
06604,Pyrausta aurata,Pyrauste de la menthe
06605,Pyrausta purpuralis,Pyrauste pourprée
06623,Sitochroa palealis,Botys verdâtre
06658,Anania hortulata,Pyrale de l'ortie
06667,Patania ruralis,Pyrale du houblon
06720a,Cydalima perspectalis,Pyrale du buis
06840,Hemaris fuciformis,Sphinx gazé
06843,Macroglos. stellatarum,Moro-sphinx
06849,Proserpinus proserpina,Sphinx de l'épilobe
06879,Erynnis tages,Point-de-Hongrie
06882,Carcharodus alceae,Hespérie de l’alcée
06883,Carcharodus tripolina,-
06887,Muschampia baeticus,Hespérie de la ballote
06891,Spialia sertorius,Hespérie des sanguisorbes
06895,Muschampia proto,Hespérie de l'herbe-au-vent
06899,Pyrgus carthami,Hespérie du carthame
06902,Pyrgus cacaliae,Hespérie du pas-d'âne
06904,Pyrgus malvae,Hespérie de l’ormière
06906,Pyrgus serratulae,Hespérie de l'alchémille
06907,Pyrgus onopordi,Hespérie de la malope
06908,Pyrgus carlinae,Hespérie de la parcinière
06911,Pyrgus armoricanus,Hespérie des potentilles
06912,Pyrgus alveus,Hespérie du faux-buis
06917,Heteropterus morpheus,Miroir
06919,Carteroceph. palaemon,Hespérie du brome
06923,Thymelicus lineola,Hespérie du dactyle
06924,Thymelicus sylvestris,Hespérie de la houque
06925,Thymelicus acteon,Hespérie du chiendent
06928,Hesperia comma,Virgule
06930,Ochlodes sylvanus,Sylvaine
06953,Parnassius mnemosyne,Semi-Apollon
06954,Parnassius sacerdos,Petit Apollon
06955,Parnassius apollo,Apollon
06958,Iphiclides podalirius,Flambé
06960,Papilio machaon,Machaon
06966,Leptidea sinapis/juvern.,Piéride du lotier
06967,Leptidea sinapis/reali,Piéride du lotier/de Real
06968,Leptidea duponcheli,Piéride du sainfoin
06969*,Lep. sin./reali compl.,Pié. du lot./de Real-compl.
06973,Anthocharis cardamines,Aurore
06993,Aporia crataegi,Gazé
06995,Pieris brassicae,Piéride du chou
06997,Pieris mannii,Piéride de l'ibéride
06998,Pieris rapae,Piéride de la rave
07000,Pieris napi,Piéride du navet
07001,Pieris bryoniae,Piéride de l'arabette
07001*,Pie. man./rap./nap. compl.,Pie. man./rap./nap.-compl.
07004,Pontia callidice,Piéride du vélar
07005,Pontia daplidice,Marbré-de-vert
07011,Colias phicomone,Candide
07013,Colias palaeno,Solitaire
07015,Colias croceus,Souci
07021,Colias hyale,Soufré
07022,Colias alfacariensis,Fluoré
07024,Gonepteryx rhamni,Citron
07030,Hamearis lucina,Lucine
07034,Lycaena phlaeas,Cuivré commun
07035,Lycaena helle,Cuivré de la bistorte
07036,Lycaena dispar,Cuivré des marais
07037,Lycaena virgaureae,Cuivré de la verge-d'or
07039,Lycaena tityrus,Cuivré fuligineux
07040,Lycaena alciphron,Cuivré mauvin
07041,Lycaena hippothoe,Cuivré écarlate
07047,Thecla betulae,Thécla du bouleau
07049,Favonius quercus,Thécla du chêne
07058,Callophrys rubi,Thécla de la ronce
07062,Satyriuim w-album,Thécla de l'orme
07063,Satyrium pruni,Thécla du prunier
07064,Satyrium spini,Thécla des nerpruns
07065,Satyrium ilicis,Thécla de l'yeuse
07073,Lampides boeticus,Azuré porte-queue
07088,Cupido minimus,Argus frêle
07089,Cupido osiris,Azuré de la chevrette
07093,Cupido argiades,Azuré du trèfle
07095,Cupido alcetas,Azuré de la faucille
07097,Celastrina argiolus,Azuré des nerpruns
07099,Pseudophilotes baton,Azuré de la sarriette
07105,Scolitantides orion,Azuré des orpins
07107,Glaucopsyche alexis,Azuré des cytises
07112,Phengaris arion,Azuré du serpolet
07113,Phengaris teleius,Azuré de la sanguisorbe
07114,Phengaris nausithous,Azuré des paluds
07115,Phengaris alcon,Azuré des mouillères
07116,Phengaris rebeli,Azuré de la croisette
07127,Plebejus argus,Azuré de l'ajonc
07128,Plebejus idas,Azuré du genêt
07129,Plebejus argyrognomon,Azuré des coronilles
07131,Agriades optilete,Azuré de la canneberge
07139,Agriades glandon,Azuré des soldanelles
07141,Agriades orbitulus,Azuré de la phaque
07143,Eumedonia eumedon,Argus de la sanguinaire
07145,Aricia agestis,Collier-de-corail
07146,Aricia artaxerxes,Argus de l'hélianthème
07152,Cyaniris semiargus,Azuré des anthyllides
07156,Polyommatus escheri,Azuré de l'adragant
07157,Polyommatus dorylas,Azuré du mélilot
07160,Polyommatus amandus,Azuré de la jarosse
07162,Polyommatus thersites,Azuré de l'esparcette
07163,Polyommatus icarus,Argus bleu
07167,Polyommatus eros,Azuré de l'oxytropide
07171,Polyommatus daphnis,Azuré de l'orobe
07172,Lysandra bellargus,Azuré bleu céleste
07173,Lysandra coridon,Argus bleu-nacré
07202,Argynnis paphia,Tabac d'Espagne
07203,Argynnis pandora,Cardinal
07204,Speyeria aglaja,Grande nacre
07205,Fabriciana adippe,Moyen nacré
07206,Fabriciana niobe,Chiffre
07210,Issoria lathonia,Petit nacré
07213,Brenthis ino,Nacré de la sanguisorbe
07214,Brenthis daphne,Nacré de la ronce
07218,Boloria eunomia,Nacré de la bistorte
07220,Boloria euphrosyne,Grand collier argenté
07221,Boloria titania,Nacré porphyrin
07222,Boloria selene,Petit collier argenté
07228,Boloria dia,Petite violette
