00063,Triodia sylvina,Sylvine
00354,Nemophora barbatellus,-
00363,Adela paludicolella,-
03966,Zygaena corsica,Zygène corse
03977,Zygaena orana,-
04030,Sesia apiformis,Sésie apiforme
04151,Cossus cossus,Cossus gâte-bois
04176,Zeuzera pyrina,Zeuzère du marronnier
04178,Phragmataecia castaneae,Zeuzère du roseau
04731,Celypha lacunana,Tordeuse du fraisier
05751,Oncocera semirubella,Phycide incarnat
06241,Chrysoteuchia culmella,Crambus des jardins
06243,Crambus pascuella,Crambus des pâturages
06253,Crambus perlella,Crambus perlé
06258,Agriphila tristella,Crambus des tiges
06266,Agriphila selasella,Crambus des rivages
06364,Pediasia contaminella,Crambus contaminé
06416,Elophila nymphaeata,Hydrocampe du potamot
06499,Evergestis extimalis,Evergète de la roquette
06601,Pyrausta despicata,Pyrauste du plantain
06604,Pyrausta aurata,Pyrauste de la menthe
06667,Patania ruralis,Pyrale du houblon
06752,Lasiocampa quercus,Bombyx du chêne
06793,Saturnia pyri,Grand paon de nuit
06794a,Saturnia pavoniella,Paon de nuit austral
06822,Smerinthus ocellata,Sphinx demi-paon
06824,Laothoe populi,Sphinx du peuplier
06828,Agrius convolvuli,Sphinx du liseron
06830,Acherontia atropos,Sphinx tête-de-mort
06832,Sphinx ligustri,Sphinx du troène
06834,Sphinx pinastri,Sphinx du pin
06840,Hemaris fuciformis,Sphinx gazé
06843,Macroglos. stellatarum,Moro-sphinx
06860,Hyles livornica,Sphinx livournien
06862,Deilephila elpenor,Grand sphinx de la vigne
06863,Deilephila porcellus,Petit sphinx de la vigne
06865,Hippotion celerio,Sphinx phœnix
06882,Carcharodus alceae,Hespérie de l’alcée
06885,Muschampia floccifera,Hespérie de l'épiaire
06893,Spialia therapne,Hespérie tyrrhénienne
06911,Pyrgus armoricanus,Hespérie des potentilles
06932,Gegenes pumilio,Hespérie du barbon
06933,Gegenes nostrodamus,-
06958,Iphiclides podalirius,Flambé
06960,Papilio machaon,Machaon
06961,Papilio hospiton,Porte-queue de Corse
06962,Papilio alexanor,Alexanor
06966,Leptidea sinapis/juvern.,Piéride du lotier
06967,Leptidea sinapis/reali,Piéride du lotier/de Real
06973,Anthocharis cardamines,Aurore
06987,Euchloe insularis,Marbré tyrrhénien
06993,Aporia crataegi,Gazé
06995,Pieris brassicae,Piéride du chou
06998,Pieris rapae,Piéride de la rave
07005,Pontia daplidice,Marbré-de-vert
07015,Colias croceus,Souci
07024,Gonepteryx rhamni,Citron
07026,Gonepteryx cleopatra,Citron de Provence
07034,Lycaena phlaeas,Cuivré commun
07035,Lycaena helle,Cuivré de la bistorte
07049,Favonius quercus,Thécla du chêne
07058,Callophrys rubi,Thécla de la ronce
07073,Lampides boeticus,Azuré porte-queue
07075,Cacyreus marshalli,Argus des pélargoniums
07077,Leptotes pirithous,Azuré de la luzerne
07097,Celastrina argiolus,Azuré des nerpruns
07102,Pseudophilotes barbagiae,Azuré sarde
07129a,Plebejus bellieri,Azuré tyrrhénien
07144,Aricia cramera,Collier-de-corail des Canaries
07163,Polyommatus icarus,Argus bleu
07163a,Polyommatus celina,-
07173,Lysandra coridon,Argus bleu-nacré
07199,Libythea celtis,Échancré
07202,Argynnis paphia,Tabac d'Espagne
07203,Argynnis pandora,Cardinal
07207,Fabriciana elisa,Nacré tyrrhénien
07210,Issoria lathonia,Petit nacré
07243,Vanessa atalanta,Vulcain
07245,Vanessa cardui,Belle-Dame
07248,Aglais io,Paon-du-jour
07250a,Aglais ichnusa,Petite tortue de Corse
07252,Polygonia c-album,Robert-le-Diable
07258,Nymphalis polychloros,Grande tortue
07288,Limenitis reducta,Sylvain azuré
07294,Charaxes jasius,Nymphale de l'arbousier
07307,Pararge aegeria,Tircis
07310,Lasiommata paramegaera,Mégère corse
07329,Coenonympha corinna,Fadet tyrrhénien
07332,Coenonympha hero,Mélibée
07334,Coenonympha pamphilus,Fadet commun
07340,Pyronia tithonus,Amaryllis
07341,Pyronia cecilia,Ocellé de la canche
07348,Maniola nurag,Ocellé des nuraghi
07350,Maniola jurtina,Myrtil
07433,Hipparchia neomiris,Mercure tyrrhénien
07434,Hipparchia aristaeus,Agreste flamboyant
07447,Brintesia circe,Silène
07476,Danaus chrysippus,Petit monarque
07503,Watsonalla binaria,Hameçon
07530,Ligdia adustata,Phalène du fusain
07613,Opisthograptis luteolata,Citronnelle rouillée
07620,Pseudopanth. macularia,Panthère
07804,Ematurga atomaria,Phalène picotée
07824,Cabera pusaria,Cabère virginale
07836,Campaea margaritaria,Céladon
08000,Hemistola chrysoprasaria,Hémithée printanière
08028,Timandra comae,Timandre aimée
08045,Scopula ornata,Acidalie ornée
08099,Idaea ochrata,Acidalie ocreuse
08155,Idaea seriata,Vieillie
08184,Idea aversata,Acidalie détournée
08186,Idaea degeneraria,Acidalie dégénérée
08222,Lythria cruentaria,Ensanglantée de l'oseille
08255,Xanthorhoe montanata,Mélanthie montagnarde
08275,Epirrhoe alternata,Alternée
08277,Epirrhoe rivata,Mélanippe claire
08289,Camptogram. bilineata,Brocatelle d'or
08304,Larentia clavaria,Larentie cloutée
08385,Colostygia pectinataria,Cidarie verdâtre
08447,Operophtera brumata,Phalène brumeuse
08620,Aplocera plagiata,Rayure commune
08622,Aplocera efformata,Petite rayure
08750,Phalera bucephala,Bucéphale
08965,Tyta luctuosa,Noctuelle en deuil
08994,Hypena proboscidalis,Noctuelle à museau
09008,Rivula sericealis,Soyeuse
09045,Diachrysia chrysitis,Plusie vert-doré
09056,Autographa gamma,Gamma
09097,Acontia trabealis,Arlequinette jaune
09114,Deltote pygarga,Albule
09233,Cucullia verbasci,Brèche
09917,Lacanobia oleracea,Noctuelle des potagers
10000,Mythimna conigera,Conigère
10001,Mythimna ferrago,Noctuelle lythargyrée
10099,Noctua comes,Hulotte
10102,Noctua janthina,Casque
10397,Orgya antiqua,Bombyx antique
10499,Eilema sororcula,Manteau jaune
10519,Syntomis marjana,Syntomie tyrolienne
10535,Utetheisa pulchella,Ecaille du myosotis
10605,Euplagia quadripunctaria,Écaille chinée
10607,Tyria jacobaeae,Goutte-de-sang
20000,NN,Espèce indéterminée
