06995b,Pieris wollastoni,Piéride du chou Madère
06998,Pieris rapae,Piéride de la rave
07015,Colias croceus,Souci
07022,Colias alfacariensis,Fluoré
07023,Catopsilia florella,Piéride du cassier
07026d,Goneptryx maderensis,Citron de Madère
07034,Lycaena phlaeas phlaeoides,Cuivré commun
07073,Lampides boeticus,Azuré porte-queue
07075,Cacyreus marshalli,Argus des pélargoniums
07210,Issoria lathonia,Petit nacré
07243,Vanessa atalanta,Vulcain
07244,Vanessa vulcania,Vulcain macaronésien
07245,Vanessa cardui,Belle-Dame
07246,Vanessa virginiensis,Vanesse des perlières
07292,Hypolimnas misippus,Nymphale du pourpier
07307,Pararge aegeria,Tircis
07307a,Pararge xiphia,Tircis madérois
07436a,Hipparchia maderensis,Agreste de Madère
07441,Hipparchia statilinus,Faune
07474,Danaus plexippus,Monarque
07476,Danaus chrysippus,Petit monarque
10535,Utetheisa pulchella,Ecaille du myosotis
20000,NN,Espèce indéterminée
