00063,Triodia sylvina,Silvina
00067,Korscheltellus lupulina,Epiale del lupino
00069,Korscheltellus fusconebulosa, -
00080,Hepialus humuli,Tignola del luppolo
01348,Yponomeuta padella,Ragna del pruno
03907,Apoda limacodes,Festone
03922,Theresimima ampellophaga, -
03925,Rhagades pruni,Mammola
03938,Jordanita subsolana,Turquoise di cenere
03941,Jordanita chloros, -
03943,Jordanita globulariae, -
03948,Adscita geryon,Adscita geryone
03951,Adscita mannii,Granchio di Mann
03955,Adscita alpina,Crisalide verde
03956,Adscita statices, -
03959,Aglaope infausta, -
03963,Zygaena sarpedon,Zigaena di sarpedon
03965,Zygaena punctum,Zigaena puntinata
03967,Zygaena cynarae,Zigaena delle cinarie
03971,Zygaena rubicundus,Zigaena rubicunda
03972,Zygaena erythrus,Zigaena eritrusa
03973,Zygaena minos,Zigaena di minos
03974,Zygaena purpuralis,igaena purpuralis
03978,Zygaena hilaris,Zigaena di hilaris
03979,Zygaena fausta,Zigaena fausta
03980,Zygaena carniolica,Zigaena carniolica
03981,Zygaena occitanica,Zigaena occitánica
03983,Zygaena loti,Zigaena del loto
03986,Zygaena oxytropis,Zigaena oxytropis
03987,Zygaena rhadamanthus,Zigaena rhadamanthus
03988,Zygaena exulans,Zigaena esulans
03990,Zygaena romeo,Zigaena romeo
03991,Zygaena osterodensis,Zigaena osterodensis
03992,Zygaena viciae,Zigaena delle vici
03993,Zygaena lavandulae,Zigaena lavandulae
03995,Zygaena ephialtes,Efialte
03996,Zygaena transalpina,Zigaena transalpina
03998,Zygaena filipendulae,Zigena della filipendula
03999,Zygaena lonicerae, -
04000,Zygaena trifolii, -
04013b,Paysandisia archon,Castnide delle palme
04030,Sesia apiformis,Sesia apiforme
04044,Synanthedon scoliaeformis, -
04151,Cossus cossus,Rodilegno rosso
05562,Thyris fenestrella, -
05751,Oncocera semirubella, -
06241,Chrysoteuchia culmella, -
06416,Elophila nymphaeata, -
06601,Pyrausta despicata, -
06604,Pyrausta aurata, -
06605,Pyrausta purpuralis, -
06623,Sitochroa palealis, -
06658,Anania hortulata, -
06667,Patania ruralis, -
06720a,Cydalima perspectalis,Piralide del bosso
06752,Lasiocampa quercus,Bombice della quercia
06755,Macrothylacia rubi,Bombice del rovo
06788,Aglia tau, -
06793,Saturnia pyri, -
06794a,Saturnia pavoniella,Pavonia minore
06795,Saturnia spini, -
06797,Saturnia caecigena, -
06802,Samia cynthia, -
06811,Brahmaea europaea,Bramea europea
06817,Marumba quercus,Sfinge della quercia
06819,Mimas tiliae,Sfinge del tiglio
06822,Smerinthus ocellata,Sfinge ocellata
06824,Laothoe populi,Sfinge del pioppo
06828,Agrius convolvuli,Sfinge del convolvolo
06830,Acherontia atropos,Sfinge testa di morto
06832,Sphinx ligustri,Sfinge del ligustro
06834,Sphinx pinastri,Sfinge del pino
06839,Hemaris tityus,Sfinge bombiforme
06840,Hemaris fuciformis,Sfinge fuciforme
06841,Hemaris croatica, -
06843,Macroglossum stellatarum,Sfinge colibrì
06845,Daphnis nerii,Sfinge dell\'oleandro
06849,Proserpinus proserpina,Sfinge dell\'epilobio
06853,Hyles euphorbiae,Sfinge dell\'euforbia
06855,Hyles gallii, -
06858,Hyles vespertilio,Sfinge pipistrello
06859,Hyles hippophaes, -
06860,Hyles livornica,Sfinge lineata
06862,Deilephila elpenor,Sfinge della vite
06863,Deilephila porcellus,Sfinge porcellino
06865,Hippotion celerio, -
06879,Erynnis tages,Tagete
06882,Carcharodus alceae,Alcea
06885,Muschampia floccifera,Falso pirgo
06887,Carcharodus baeticus,Esperide del marrubio
06891,Spialia sertorius,Sertorio
06895,Muschampia proto/alta,Falso pirgo meridionale
06902,Pyrgus cacaliae,Pirgo della cacalia
06904,Pyrgus malvae,Esperia della malva
06906,Pyrgus serratulae,Pirgo della serratula
06907,Pyrgus onopordi,Pirgo dell’onopordo
06908,Pyrgus carlinae,Pirgo della carlina
06911,Pyrgus armoricanus,Armoricano
06912,Pyrgus alveus,Pirgo maggiore
06917,Heteropterus morpheus,Morfeo
06919,Carterocephalus palaemon,Palemone
